,trial_number,ERP [0.  0.2],ERP [0.2 0.4],ERP [0.4 0.6],ERP [0.6 0.8],ERP [0.8 1. ],ERP [1.  1.2],ERP [1.2 1.4],subject,round,stim_type,stage_of_learning,part_of_exp,real_stim
0,0,2.8115364048358722e-12,4.311708656412355e-12,3.408585681746023e-12,2.731317944953532e-12,3.5828323731380804e-12,3.719184976538061e-12,2.0667149769933585e-12,L901,learning1,NW,Early,First,Type_B
1,1,4.7386181538197924e-12,2.7730426944331444e-12,2.623057658857933e-12,2.831074176145695e-12,3.695695417532772e-12,5.5524917441575e-12,3.941868511128053e-12,L901,learning1,NW,Early,First,Type_B
2,2,2.6674569006713785e-12,3.0441658451064504e-12,4.77470001759144e-12,4.3182843092841654e-12,3.3181665925669633e-12,2.864090486236687e-12,1.8411463526619444e-12,L901,learning1,NW,Early,First,Type_B
3,3,2.193900625674037e-12,3.4746486784550926e-12,4.179419291860098e-12,3.962457361445353e-12,7.732924958595199e-12,9.297264843392692e-12,5.162756297855354e-12,L901,learning1,NW,Early,First,Type_B
4,4,2.597016825892601e-12,1.5443141661960763e-12,3.281542506236195e-12,3.5105889215543603e-12,6.275710478343083e-12,5.497090869690706e-12,4.112016953910849e-12,L901,learning1,NW,Early,First,Type_B
5,5,1.4848854794675106e-12,1.892652575292779e-12,2.2098802887983945e-12,1.883009183925271e-12,2.9506788294197515e-12,4.276541530816272e-12,6.169587731783674e-12,L901,learning1,NW,Early,First,Type_B
6,6,2.0048350164637955e-12,2.394037024822443e-12,1.6980126970281494e-12,2.0279400121638064e-12,4.373929954363867e-12,3.104042561671948e-12,2.0351376219079807e-12,L901,learning1,NW,Early,First,Type_B
7,7,1.8178217595972124e-12,2.8811076148018912e-12,5.069946696167111e-12,3.6009328268906094e-12,2.880428935502464e-12,3.743740074025818e-12,3.259862380346246e-12,L901,learning1,NW,Early,First,Type_B
8,8,2.229253832259895e-12,2.0361485252835767e-12,2.584351694604275e-12,4.780702363521778e-12,2.72735384848461e-12,4.674572519027056e-12,8.099977886176406e-12,L901,learning1,NW,Early,First,Type_B
9,9,2.051619206795958e-12,2.6779680303306195e-12,1.4244738965523354e-12,2.4347234006375473e-12,3.0083225576326703e-12,1.9418171138597495e-12,2.309325159812606e-12,L901,learning1,NW,Early,First,Type_B
10,10,2.2276888207724135e-12,2.359698743468631e-12,1.8675154591267796e-12,2.810711547997348e-12,2.7769819035483278e-12,1.1607498786441844e-12,1.5983109389037041e-12,L901,learning1,NW,Early,First,Type_B
11,11,2.475463633151329e-12,2.759754396599755e-12,4.87798477779674e-12,6.318824182506502e-12,4.767688085532048e-12,3.9483297918785964e-12,3.8152147955684984e-12,L901,learning1,NW,Early,First,Type_B
12,12,2.967397515971742e-12,2.837307662792405e-12,3.864863605599806e-12,3.965606272254896e-12,6.419918889696266e-12,6.585608545195431e-12,5.618388572424903e-12,L901,learning1,NW,Early,First,Type_B
